"","Hybrid","Hybrid_Parent1","Hybrid_Parent2","Year"
"131150","W10004_0779/PHZ51","W10004_0779","PHZ51",2002
"131151","W10004_0194/PHZ51","W10004_0194","PHZ51",2013
"131152","W10004_0736/PHZ51","W10004_0736","PHZ51",2019
"131154","W10004_0626/PHZ51","W10004_0626","PHZ51",2016
"131155","W10004_0852/PHZ51","W10004_0852","PHZ51",2016
"131156","W10004_0292/PHZ51","W10004_0292","PHZ51",2012
"131157","W10004_0707/PHZ51","W10004_0707","PHZ51",2003
"131158","W10004_0645/PHZ51","W10004_0645","PHZ51",2005
"131159","W10004_0969/PHZ51","W10004_0969","PHZ51",2021
"131160","W10004_0669/PHZ51","W10004_0669","PHZ51",2011
"131161","W10004_0306/PHZ51","W10004_0306","PHZ51",2008
"131163","W10004_0309/PHZ51","W10004_0309","PHZ51",2007
"131164","W10004_1072/PHZ51","W10004_1072","PHZ51",2020
"131165","W10004_0691/PHZ51","W10004_0691","PHZ51",2012
"131166","W10004_0649/PHZ51","W10004_0649","PHZ51",2014
"131167","W10004_0834/PHZ51","W10004_0834","PHZ51",2011
"131168","W10004_0885/PHZ51","W10004_0885","PHZ51",2008
"131169","W10004_0190/PHZ51","W10004_0190","PHZ51",2002
"131170","W10004_0795/PHZ51","W10004_0795","PHZ51",2022
"131171","W10004_0122/PHZ51","W10004_0122","PHZ51",2009
"131172","W10004_0775/PHZ51","W10004_0775","PHZ51",2019
"131173","W10004_0684/PHZ51","W10004_0684","PHZ51",2001
"131174","W10004_0914/PHZ51","W10004_0914","PHZ51",2001
"131175","W10004_0220/PHZ51","W10004_0220","PHZ51",2022
"131178","W10004_0844/PHZ51","W10004_0844","PHZ51",2008
"131179","W10004_0045/PHZ51","W10004_0045","PHZ51",2021
"131180","W10004_0053/PHZ51","W10004_0053","PHZ51",2007
"131181","W10004_0792/PHZ51","W10004_0792","PHZ51",2020
"131182","W10004_0826/PHZ51","W10004_0826","PHZ51",2013
"131183","W10004_0654/PHZ51","W10004_0654","PHZ51",2006
"131185","W10004_0505/PHZ51","W10004_0505","PHZ51",2008
"131186","W10004_0667/PHZ51","W10004_0667","PHZ51",2003
"131188","W10004_0133/PHZ51","W10004_0133","PHZ51",2001
"131189","W10004_0073/PHZ51","W10004_0073","PHZ51",2010
"131190","W10004_0729/PHZ51","W10004_0729","PHZ51",2018
"131191","W10004_1007/PHZ51","W10004_1007","PHZ51",2019
"131192","W10004_0620/PHZ51","W10004_0620","PHZ51",2019
"131193","W10004_0264/PHZ51","W10004_0264","PHZ51",2003
"131194","W10004_0189/PHZ51","W10004_0189","PHZ51",2006
"131195","W10004_0138/PHZ51","W10004_0138","PHZ51",2016
"131196","W10004_0842/PHZ51","W10004_0842","PHZ51",2015
"131197","W10004_0814/PHZ51","W10004_0814","PHZ51",2006
"131198","W10004_0828/PHZ51","W10004_0828","PHZ51",2004
"131199","W10004_0733/PHZ51","W10004_0733","PHZ51",2010
"131200","W10004_0034/PHZ51","W10004_0034","PHZ51",2018
"131201","W10004_0951/PHZ51","W10004_0951","PHZ51",2022
"131202","W10004_0837/PHZ51","W10004_0837","PHZ51",2001
"131203","W10004_0609/PHZ51","W10004_0609","PHZ51",2009
"131204","W10004_0038/PHZ51","W10004_0038","PHZ51",2011
"131205","W10004_0098/PHZ51","W10004_0098","PHZ51",2012
"131206","W10004_0674/PHZ51","W10004_0674","PHZ51",2016
"131207","W10004_0773/PHZ51","W10004_0773","PHZ51",2005
"131208","W10004_0868/PHZ51","W10004_0868","PHZ51",2014
"131210","W10004_0013/PHZ51","W10004_0013","PHZ51",2017
"131211","W10004_0389/PHZ51","W10004_0389","PHZ51",2009
"131212","W10004_1045/PHZ51","W10004_1045","PHZ51",2010
"131213","W10004_0822/PHZ51","W10004_0822","PHZ51",2007
"131214","W10004_0011/PHZ51","W10004_0011","PHZ51",2004
"131215","W10004_0802/PHZ51","W10004_0802","PHZ51",2020
"131216","W10004_0836/PHZ51","W10004_0836","PHZ51",2009
"131217","W10004_0697/PHZ51","W10004_0697","PHZ51",2008
"131218","W10004_0918/PHZ51","W10004_0918","PHZ51",2019
"131219","W10004_0178/PHZ51","W10004_0178","PHZ51",2010
"131220","W10004_1063/PHZ51","W10004_1063","PHZ51",2015
"131221","W10004_0242/PHZ51","W10004_0242","PHZ51",2018
"131222","W10004_0253/PHZ51","W10004_0253","PHZ51",2016
"131223","W10004_0734/PHZ51","W10004_0734","PHZ51",2012
"131225","W10004_0427/PHZ51","W10004_0427","PHZ51",2008
"131226","W10004_0889/PHZ51","W10004_0889","PHZ51",2009
"131227","W10004_1099/PHZ51","W10004_1099","PHZ51",2014
"131228","W10004_0907/PHZ51","W10004_0907","PHZ51",2005
"131229","W10004_0261/PHZ51","W10004_0261","PHZ51",2016
"131230","W10004_0103/PHZ51","W10004_0103","PHZ51",2014
"131231","W10004_0658/PHZ51","W10004_0658","PHZ51",2009
"131234","W10004_1143/PHZ51","W10004_1143","PHZ51",2010
"131235","W10004_0310/PHZ51","W10004_0310","PHZ51",2002
"131236","W10004_0756/PHZ51","W10004_0756","PHZ51",2002
"131237","W10004_0687/PHZ51","W10004_0687","PHZ51",2003
"131238","W10004_0127/PHZ51","W10004_0127","PHZ51",2002
"131239","W10004_0097/PHZ51","W10004_0097","PHZ51",2003
"131241","W10004_0856/PHZ51","W10004_0856","PHZ51",2010
"131242","W10004_0913/PHZ51","W10004_0913","PHZ51",2005
"131243","W10004_0966/PHZ51","W10004_0966","PHZ51",2004
"131245","W10004_0101/PHZ51","W10004_0101","PHZ51",2012
"131246","W10004_0956/PHZ51","W10004_0956","PHZ51",2002
"131247","W10004_0819/PHZ51","W10004_0819","PHZ51",2018
"131248","W10004_0818/PHZ51","W10004_0818","PHZ51",2013
"131249","W10004_0199/PHZ51","W10004_0199","PHZ51",2015
"131250","W10004_1015/PHZ51","W10004_1015","PHZ51",2009
"131251","W10004_0974/PHZ51","W10004_0974","PHZ51",2009
"131252","W10004_0672/PHZ51","W10004_0672","PHZ51",2006
"131253","W10004_0063/PHZ51","W10004_0063","PHZ51",2002
"131254","W10004_0166/PHZ51","W10004_0166","PHZ51",2021
"131255","W10004_0637/PHZ51","W10004_0637","PHZ51",2017
"131256","W10004_0678/PHZ51","W10004_0678","PHZ51",2008
"131257","W10004_0815/PHZ51","W10004_0815","PHZ51",2010
"131258","W10004_0798/PHZ51","W10004_0798","PHZ51",2010
"131259","W10004_0799/PHZ51","W10004_0799","PHZ51",2017
"131260","W10004_0618/PHZ51","W10004_0618","PHZ51",2014
"131261","W10004_1032/PHZ51","W10004_1032","PHZ51",2004
"131262","W10004_0087/PHZ51","W10004_0087","PHZ51",2019
"131263","W10004_0659/PHZ51","W10004_0659","PHZ51",2015
"131264","W10004_0930/PHZ51","W10004_0930","PHZ51",2021
"131265","W10004_1057/PHZ51","W10004_1057","PHZ51",2012
"131266","W10004_0380/PHZ51","W10004_0380","PHZ51",2019
"131267","W10004_0843/PHZ51","W10004_0843","PHZ51",2009
"131268","W10004_0121/PHZ51","W10004_0121","PHZ51",2020
"131269","W10004_0149/PHZ51","W10004_0149","PHZ51",2012
"131270","W10004_0119/PHZ51","W10004_0119","PHZ51",2020
"131271","W10004_0206/PHZ51","W10004_0206","PHZ51",2019
"131272","W10004_0487/PHZ51","W10004_0487","PHZ51",2018
"131273","W10004_1052/PHZ51","W10004_1052","PHZ51",2017
"131274","W10004_1112/PHZ51","W10004_1112","PHZ51",2005
"131275","W10004_0820/PHZ51","W10004_0820","PHZ51",2015
"131276","W10004_0901/PHZ51","W10004_0901","PHZ51",2022
"131278","W10004_0327/PHZ51","W10004_0327","PHZ51",2021
"131279","W10004_0601/PHZ51","W10004_0601","PHZ51",2008
"131280","W10004_0241/PHZ51","W10004_0241","PHZ51",2019
"131281","W10004_0712/PHZ51","W10004_0712","PHZ51",2007
"131282","W10004_0984/PHZ51","W10004_0984","PHZ51",2002
"131284","W10004_0152/PHZ51","W10004_0152","PHZ51",2003
"131285","W10004_0859/PHZ51","W10004_0859","PHZ51",2010
"131287","W10004_0185/PHZ51","W10004_0185","PHZ51",2011
"131288","W10004_1105/PHZ51","W10004_1105","PHZ51",2002
"131289","W10004_0801/PHZ51","W10004_0801","PHZ51",2017
"131290","W10004_0784/PHZ51","W10004_0784","PHZ51",2014
"131291","W10004_0079/PHZ51","W10004_0079","PHZ51",2004
"131292","W10004_0751/PHZ51","W10004_0751","PHZ51",2008
"131293","W10004_0975/PHZ51","W10004_0975","PHZ51",2015
"131294","W10004_0625/PHZ51","W10004_0625","PHZ51",2017
"131295","PB80/TX779","PB80","TX779",2010
"131296","W10004_1064/PHZ51","W10004_1064","PHZ51",2016
"131297","W10004_0632/PHZ51","W10004_0632","PHZ51",2005
"131298","W10004_0224/PHZ51","W10004_0224","PHZ51",2005
"131299","TX773/TX779","TX773","TX779",2001
"131300","W10004_0010/PHZ51","W10004_0010","PHZ51",2007
"131301","W10004_1080/PHZ51","W10004_1080","PHZ51",2021
"131302","W10004_0144/PHZ51","W10004_0144","PHZ51",2019
"131303","W10004_0160/PHZ51","W10004_0160","PHZ51",2019
"131304","W10004_0650/PHZ51","W10004_0650","PHZ51",2018
"131305","W10004_0614/PHZ51","W10004_0614","PHZ51",2010
"131306","W10004_0134/PHZ51","W10004_0134","PHZ51",2014
"131307","W10004_0270/PHZ51","W10004_0270","PHZ51",2002
"131308","W10004_0888/PHZ51","W10004_0888","PHZ51",2001
"131309","W10004_0715/PHZ51","W10004_0715","PHZ51",2018
"131311","W10004_0932/PHZ51","W10004_0932","PHZ51",2008
"131312","W10004_0394/PHZ51","W10004_0394","PHZ51",2018
"131313","W10004_0991/PHZ51","W10004_0991","PHZ51",2005
"131314","W10004_0741/PHZ51","W10004_0741","PHZ51",2020
"131315","W10004_0042/PHZ51","W10004_0042","PHZ51",2020
"131316","W10004_0774/PHZ51","W10004_0774","PHZ51",2003
"131317","W10004_0830/PHZ51","W10004_0830","PHZ51",2018
"131318","W10004_0344/PHZ51","W10004_0344","PHZ51",2013
"131319","W10004_1140/PHZ51","W10004_1140","PHZ51",2021
"131320","W10004_0781/PHZ51","W10004_0781","PHZ51",2012
"131322","W10004_0204/PHZ51","W10004_0204","PHZ51",2010
"131323","W10004_0940/PHZ51","W10004_0940","PHZ51",2009
"131324","W10004_1081/PHZ51","W10004_1081","PHZ51",2011
"131325","W10004_0807/PHZ51","W10004_0807","PHZ51",2020
"131326","W10004_0877/PHZ51","W10004_0877","PHZ51",2017
"131327","W10004_0110/PHZ51","W10004_0110","PHZ51",2022
"131328","W10004_0116/PHZ51","W10004_0116","PHZ51",2008
"131329","W10004_0661/PHZ51","W10004_0661","PHZ51",2007
"131331","W10004_0395/PHZ51","W10004_0395","PHZ51",2019
"131333","W10004_0771/PHZ51","W10004_0771","PHZ51",2018
"131334","W10004_0896/PHZ51","W10004_0896","PHZ51",2009
"131335","W10004_0891/PHZ51","W10004_0891","PHZ51",2015
"131336","W10004_0624/PHZ51","W10004_0624","PHZ51",2009
"131337","W10004_0833/PHZ51","W10004_0833","PHZ51",2005
"131338","W10004_0664/PHZ51","W10004_0664","PHZ51",2002
"131339","W10004_0631/PHZ51","W10004_0631","PHZ51",2006
"131341","W10004_0072/PHZ51","W10004_0072","PHZ51",2004
"131343","W10004_1020/PHZ51","W10004_1020","PHZ51",2016
"131344","W10004_0727/PHZ51","W10004_0727","PHZ51",2014
"131345","W10004_0200/PHZ51","W10004_0200","PHZ51",2010
"131346","W10004_0262/PHZ51","W10004_0262","PHZ51",2011
"131347","W10004_0928/PHZ51","W10004_0928","PHZ51",2008
"131349","W10004_0673/PHZ51","W10004_0673","PHZ51",2010
"131398","W10004_0383/PHZ51","W10004_0383","PHZ51",2018
"131400","W10004_0879/PHZ51","W10004_0879","PHZ51",2008
"131402","W10004_0112/PHZ51","W10004_0112","PHZ51",2013
"131404","W10004_0682/PHZ51","W10004_0682","PHZ51",2002
"131405","W10004_0118/PHZ51","W10004_0118","PHZ51",2002
"131406","W10004_1002/PHZ51","W10004_1002","PHZ51",2022
"131407","W10004_0037/PHZ51","W10004_0037","PHZ51",2006
"131408","W10004_0093/PHZ51","W10004_0093","PHZ51",2018
"131409","W10004_0955/PHZ51","W10004_0955","PHZ51",2008
"131411","W10004_0217/PHZ51","W10004_0217","PHZ51",2009
"131412","W10004_0078/PHZ51","W10004_0078","PHZ51",2014
"131414","W10004_0168/PHZ51","W10004_0168","PHZ51",2012
"131419","W10004_0501/PHZ51","W10004_0501","PHZ51",2019
"131421","W10004_0311/PHZ51","W10004_0311","PHZ51",2014
"131423","W10004_0498/PHZ51","W10004_0498","PHZ51",2011
"131424","W10004_0396/PHZ51","W10004_0396","PHZ51",2014
"131425","W10004_0476/PHZ51","W10004_0476","PHZ51",2021
"131426","W10004_0361/PHZ51","W10004_0361","PHZ51",2007
"131429","W10004_0014/PHZ51","W10004_0014","PHZ51",2017
"131432","W10004_1018/PHZ51","W10004_1018","PHZ51",2014
"131435","W10004_0268/PHZ51","W10004_0268","PHZ51",2001
"131437","W10004_1014/PHZ51","W10004_1014","PHZ51",2016
"131441","W10004_0886/PHZ51","W10004_0886","PHZ51",2021
"131443","W10004_0212/PHZ51","W10004_0212","PHZ51",2009
"131444","W10004_0076/PHZ51","W10004_0076","PHZ51",2001
"131445","W10004_0346/PHZ51","W10004_0346","PHZ51",2014
"131447","W10004_0970/PHZ51","W10004_0970","PHZ51",2002
"131449","W10004_0150/PHZ51","W10004_0150","PHZ51",2013
"131450","W10004_0988/PHZ51","W10004_0988","PHZ51",2010
"131451","W10004_0827/PHZ51","W10004_0827","PHZ51",2008
"131452","W10004_0714/PHZ51","W10004_0714","PHZ51",2001
"131453","W10004_0922/PHZ51","W10004_0922","PHZ51",2009
"131454","W10004_0047/PHZ51","W10004_0047","PHZ51",2014
"131455","W10004_0782/PHZ51","W10004_0782","PHZ51",2021
"131456","W10004_1037/PHZ51","W10004_1037","PHZ51",2005
"131457","W10004_0381/PHZ51","W10004_0381","PHZ51",2014
"131458","W10004_0167/PHZ51","W10004_0167","PHZ51",2021
"131462","W10004_0419/PHZ51","W10004_0419","PHZ51",2008
"131463","W10004_0140/PHZ51","W10004_0140","PHZ51",2015
"131464","W10004_0046/PHZ51","W10004_0046","PHZ51",2016
"131465","W10004_0964/PHZ51","W10004_0964","PHZ51",2004
"131466","W10004_0147/PHZ51","W10004_0147","PHZ51",2006
"131468","W10004_1104/PHZ51","W10004_1104","PHZ51",2011
"131471","W10004_0646/PHZ51","W10004_0646","PHZ51",2013
"131472","W10004_0258/PHZ51","W10004_0258","PHZ51",2010
"131473","W10004_0757/PHZ51","W10004_0757","PHZ51",2019
"131474","W10004_1146/PHZ51","W10004_1146","PHZ51",2018
"131476","W10004_0713/PHZ51","W10004_0713","PHZ51",2009
"131477","W10004_0153/PHZ51","W10004_0153","PHZ51",2005
"131478","W10004_0746/PHZ51","W10004_0746","PHZ51",2014
"131481","W10004_0055/PHZ51","W10004_0055","PHZ51",2016
"131482","W10004_0701/PHZ51","W10004_0701","PHZ51",2008
"131483","W10004_0027/PHZ51","W10004_0027","PHZ51",2011
"131484","W10004_0197/PHZ51","W10004_0197","PHZ51",2008
"131488","W10004_0695/PHZ51","W10004_0695","PHZ51",2021
"131492","W10004_0223/PHZ51","W10004_0223","PHZ51",2015
"131494","W10004_0869/PHZ51","W10004_0869","PHZ51",2022
"131496","W10004_0086/PHZ51","W10004_0086","PHZ51",2017
"131497","W10004_0789/PHZ51","W10004_0789","PHZ51",2004
"131499","W10004_0612/PHZ51","W10004_0612","PHZ51",2020
"131500","W10004_0847/PHZ51","W10004_0847","PHZ51",2022
"131504","W10004_1084/PHZ51","W10004_1084","PHZ51",2007
"131505","W10004_0271/PHZ51","W10004_0271","PHZ51",2012
"131507","W10004_1117/PHZ51","W10004_1117","PHZ51",2009
"131508","W10004_0403/PHZ51","W10004_0403","PHZ51",2013
"131509","W10004_0115/PHZ51","W10004_0115","PHZ51",2003
"131510","W10004_0760/PHZ51","W10004_0760","PHZ51",2016
"131511","W10004_0783/PHZ51","W10004_0783","PHZ51",2008
"131514","W10004_0800/PHZ51","W10004_0800","PHZ51",2015
"131516","W10004_0776/PHZ51","W10004_0776","PHZ51",2013
"131517","W10004_1118/PHZ51","W10004_1118","PHZ51",2010
"131519","W10004_0236/PHZ51","W10004_0236","PHZ51",2001
"131522","W10004_0041/PHZ51","W10004_0041","PHZ51",2014
"131523","W10004_0602/PHZ51","W10004_0602","PHZ51",2016
"131526","W10004_0787/PHZ51","W10004_0787","PHZ51",2001
"131527","W10004_1123/PHZ51","W10004_1123","PHZ51",2017
"131528","W10004_0953/PHZ51","W10004_0953","PHZ51",2017
"131530","W10004_0732/PHZ51","W10004_0732","PHZ51",2015
"131531","W10004_0068/PHZ51","W10004_0068","PHZ51",2007
"131533","W10004_0148/PHZ51","W10004_0148","PHZ51",2021
"131534","W10004_0696/PHZ51","W10004_0696","PHZ51",2022
"131535","W10004_0803/PHZ51","W10004_0803","PHZ51",2008
"131537","W10004_1000/PHZ51","W10004_1000","PHZ51",2005
"131538","W10004_0099/PHZ51","W10004_0099","PHZ51",2003
"131539","W10004_0622/PHZ51","W10004_0622","PHZ51",2018
"131541","W10004_0092/PHZ51","W10004_0092","PHZ51",2002
"131542","W10004_1001/PHZ51","W10004_1001","PHZ51",2017
"131543","W10004_0231/PHZ51","W10004_0231","PHZ51",2004
"131547","W10004_0723/PHZ51","W10004_0723","PHZ51",2022
"131548","W10004_0424/PHZ51","W10004_0424","PHZ51",2008
"131549","W10004_0768/PHZ51","W10004_0768","PHZ51",2014
"131550","W10004_0192/PHZ51","W10004_0192","PHZ51",2004
"131551","W10004_0851/PHZ51","W10004_0851","PHZ51",2018
"131552","W10004_0410/PHZ51","W10004_0410","PHZ51",2021
"131553","W10004_1156/PHZ51","W10004_1156","PHZ51",2018
"131555","W10004_0644/PHZ51","W10004_0644","PHZ51",2021
"131557","W10004_0812/PHZ51","W10004_0812","PHZ51",2012
"131558","W10004_0747/PHZ51","W10004_0747","PHZ51",2011
"131559","W10004_0179/PHZ51","W10004_0179","PHZ51",2021
"131562","W10004_0916/PHZ51","W10004_0916","PHZ51",2017
"131563","W10004_1011/PHZ51","W10004_1011","PHZ51",2019
"131564","W10004_0035/PHZ51","W10004_0035","PHZ51",2018
"131565","W10004_0062/PHZ51","W10004_0062","PHZ51",2015
"131566","W10004_0704/PHZ51","W10004_0704","PHZ51",2019
"131567","W10004_0276/PHZ51","W10004_0276","PHZ51",2013
"131568","W10004_0064/PHZ51","W10004_0064","PHZ51",2007
"131572","W10004_0938/PHZ51","W10004_0938","PHZ51",2008
"131573","W10004_0409/PHZ51","W10004_0409","PHZ51",2015
"131574","W10004_0971/PHZ51","W10004_0971","PHZ51",2017
"131576","W10004_0823/PHZ51","W10004_0823","PHZ51",2004
"131577","W10004_0221/PHZ51","W10004_0221","PHZ51",2013
"131578","W10004_0169/PHZ51","W10004_0169","PHZ51",2005
"131580","W10004_0026/PHZ51","W10004_0026","PHZ51",2018
"131582","W10004_0430/PHZ51","W10004_0430","PHZ51",2021
"131584","W10004_0689/PHZ51","W10004_0689","PHZ51",2021
"131585","W10004_0711/PHZ51","W10004_0711","PHZ51",2012
"131587","W10004_0467/PHZ51","W10004_0467","PHZ51",2021
"131588","W10004_0608/PHZ51","W10004_0608","PHZ51",2001
"131589","W10004_0161/PHZ51","W10004_0161","PHZ51",2002
"131591","W10004_0794/PHZ51","W10004_0794","PHZ51",2013
"131592","W10004_1004/PHZ51","W10004_1004","PHZ51",2022
"131595","W10004_0254/PHZ51","W10004_0254","PHZ51",2003
"131596","W10004_0129/PHZ51","W10004_0129","PHZ51",2017
"131597","W10004_0943/PHZ51","W10004_0943","PHZ51",2012
"131599","W10004_0132/PHZ51","W10004_0132","PHZ51",2017
"131600","W10004_0900/PHZ51","W10004_0900","PHZ51",2021
"131601","W10004_0703/PHZ51","W10004_0703","PHZ51",2022
"131603","W10004_0299/PHZ51","W10004_0299","PHZ51",2022
"131606","W10004_0636/PHZ51","W10004_0636","PHZ51",2005
"131611","W10004_0858/PHZ51","W10004_0858","PHZ51",2010
"131612","W10004_0688/PHZ51","W10004_0688","PHZ51",2008
"131613","W10004_0745/PHZ51","W10004_0745","PHZ51",2022
"131615","W10004_0308/PHZ51","W10004_0308","PHZ51",2020
"131616","W10004_0465/PHZ51","W10004_0465","PHZ51",2006
"131617","W10004_0291/PHZ51","W10004_0291","PHZ51",2017
"131620","W10004_0196/PHZ51","W10004_0196","PHZ51",2007
"131621","W10004_0290/PHZ51","W10004_0290","PHZ51",2022
"131624","W10004_0616/PHZ51","W10004_0616","PHZ51",2009
"131625","W10004_0717/PHZ51","W10004_0717","PHZ51",2017
"131626","W10004_0892/PHZ51","W10004_0892","PHZ51",2011
"131627","W10004_0095/PHZ51","W10004_0095","PHZ51",2012
"131628","W10004_0680/PHZ51","W10004_0680","PHZ51",2006
"131629","W10004_0702/PHZ51","W10004_0702","PHZ51",2015
"131630","W10004_0412/PHZ51","W10004_0412","PHZ51",2008
"131631","W10004_0876/PHZ51","W10004_0876","PHZ51",2004
"131634","W10004_0238/PHZ51","W10004_0238","PHZ51",2012
"131635","W10004_0417/PHZ51","W10004_0417","PHZ51",2002
"131636","W10004_0866/PHZ51","W10004_0866","PHZ51",2014
"131669","TX110/DK87916W","TX110","DK87916W",2019
"131670","LH132/TX779","LH132","TX779",2021
"131719","DKC67-44",NA,NA,2013
